from,to
1223,1870
2590,3627
1917,1978
4600,5885
658,1936
537,1340
1989,5840
3430,5440
1722,1999
1550,1598
3857,6833
858,3013
2431,2962
1559,5314
6296,8559
1671,3352
2757,2980
3245,5521
3314,4282
4161,5156
2817,8762
2164,3175
3297,4154
567,6604
1466,1581
7710,8753
702,1459
2085,4250
416,2347
830,1760
867,3396
2614,2894
1467,7760
315,3028
3271,3521
2724,5545
1811,2684
2193,6427
3020,5515
2054,2158
1965,2579
2396,2512
3301,4193
2939,4715
4327,5315
1163,2578
1846,4021
1501,5931
3526,5881
2098,5211
1126,1624
2890,4663
1304,3823
3163,6325
5131,5775
4048,4580
3133,3626
1710,3845
2244,2640
2587,5022
5085,5482
6907,9081
1252,1892
2003,5552
2982,6776
1563,2385
1759,2271
3566,5664
1073,1462
1975,5427
1761,3785
2954,4075
1858,4322
4392,7135
1591,2082
3092,4829
3317,4400
3331,6352
863,2590
5397,6033
3687,5026
1183,1342
2435,3096
2392,2888
1843,5896
1747,2387
4031,5325
956,7154
7397,7447
1139,7527
5440,9473
1932,2090
2840,4356
2382,3148
1917,1990
4567,5409
7033,7290
2644,3460
657,3253
1704,2705
6143,7190
1287,1787
6223,9048
1972,2470
2887,4456
1541,1623
3099,3254
2975,3730
1543,4032
1876,6849
2182,3021
1585,2461
1818,1869
2147,2286
1751,2311
4446,5342
752,1689
2259,3900
2109,2925
1250,3893
2595,9216
598,641
6087,6357
2672,5740
2568,4830
2076,4879
1777,3379
3195,4089
3358,5451
3236,3334
3505,3810
2118,2290
859,1094
3024,3871
6115,7175
3140,5443
3638,4542
3878,5707
2671,3972
2544,2640
3421,5960
2654,3213
4555,5435
8192,8636
2926,7776
4389,7330
2299,2473
2986,7426
3837,5241
1649,2709
3822,7356
2090,8019
4198,8444
1294,2239
2170,8939
2547,3627
2393,2505
1557,2055
1748,4225
1609,5148
1341,3153
3208,3504
1851,3424
1864,2039
3773,5278
2790,3404
3875,5324
2826,5456
1935,2507
2811,3702
511,1624
2218,2301
2233,2669
4911,5157
1798,2684
1656,4964
4455,5631
5363,7355
3121,4394
753,1195
2283,2927
1498,1897
4790,5986
325,2743
7053,8019
4992,6789
5331,6633
1934,1949
1513,4098
2619,2745
1974,2710
4342,5341
2335,2965
5780,5884
2199,3720
1034,1568
1782,2509
3397,5934
2181,2789
3399,3758
1934,4487
5770,7022
1695,2743
4157,7754
