from,to
3870,4508
5159,5162
3947,5316
4498,5129
5008,5146
3055,3624
3085,4375
2116,3135
4881,8046
3458,4945
2775,5028
1124,3422
3902,6675
4461,5852
6565,7621
1741,1811
4116,4516
4212,5334
3561,4366
2468,2653
4435,5200
6856,7033
5146,5890
3277,4947
4056,4725
5904,5913
4889,6812
6420,6487
3332,4047
5365,6828
3433,5786
5860,9663
2392,5058
2736,5967
7099,7168
3887,5145
2624,2891
2044,4701
5018,5239
6434,6722
3281,8486
6378,8967
4140,5797
4268,5605
2636,4779
3496,8124
4932,5834
2581,3280
4937,5856
8746,9069
5254,6214
2650,7644
4377,5743
2267,2772
5405,9388
5230,5714
3552,5725
5014,5144
3076,8039
2137,3372
2929,4253
1383,5377
1212,7435
3410,3844
1892,5700
4116,5002
4536,5041
2826,3620
3442,8623
4498,6264
8285,8493
4920,5422
3360,4098
5227,7771
1978,3065
3961,6417
5696,6915
4318,8716
4628,6219
2538,2886
3814,6089
5166,6520
6493,7802
6630,6664
8150,8612
4415,8626
5309,5590
2982,3471
4927,8020
3725,7517
4300,7137
4582,4969
4126,7634
4091,4478
3279,5530
4787,5317
2301,8446
3697,7093
4798,4988
7551,7736
7315,9031
5552,6943
5059,6010
6851,9534
5500,5906
4816,5682
5698,6635
3224,4327
5428,5478
6045,8637
6441,8106
3727,5508
5733,6675
4629,4741
3752,5552
1001,1233
5621,6435
4794,5691
4761,7871
5473,7881
2814,6098
5581,5736
107,1688
3197,5331
3140,6311
2145,4311
4995,5848
6476,7597
4886,6548
4200,4686
4271,5424
3720,4519
1686,2265
1390,2389
4541,4744
4058,8432
5481,6465
4726,4993
2010,2442
1809,3347
6018,6916
3151,5069
4096,4233
3425,6606
2681,4796
2634,6093
4001,5196
5129,5841
737,2290
4812,6939
1906,6695
4942,5424
6136,6422
1614,2935
4189,4528
2358,5113
4844,6790
4541,8261
4010,5683
3167,4474
4328,4724
4230,4812
3497,3942
4891,6599
3794,3828
5447,6376
4950,7001
4966,6751
8742,8819
6381,6706
6750,7257
3656,5144
3454,6604
1955,5535
5503,8479
5173,7977
1473,3771
3365,7113
6294,6525
3959,5933
7215,7731
1686,2683
3850,5802
1184,4810
3982,7838
6630,9115
5019,5326
3974,4508
4966,6846
4816,4941
4442,5568
5165,9422
4466,5034
3763,6006
2744,5443
6476,9364
5786,7393
1646,6539
1146,4051
4110,6215
1948,2079
3462,5133
3544,4192
883,1449
3171,3710
3833,6057
7211,7331
3898,5302
3298,3887
5505,6677
2662,5322
5792,5934
5021,5269
7468,8301
5871,7925
6172,6174
1122,3500
4692,4711
5075,6278
2485,7447
4461,6163
7785,8338
2435,5346
4864,5943
1724,4610
4680,6086
3425,5693
2663,5930
5142,5203
3951,8180
5232,5814
5743,8922
3746,3788
876,3004
4543,6053
4463,5241
3572,4976
5077,5401
1301,7022
4132,8105
2410,3681
2481,2875
2966,4198
6326,7765
5505,5918
3720,9193
4977,7698
4758,5024
362,986
3274,3344
3943,6979
4273,6766
4992,5981
2278,5121
2301,7863
5786,6100
3282,3547
5006,6597
5539,6406
2567,5191
4146,6153
6332,7813
5176,5281
2182,6504
4491,5225
1854,2494
2958,8254
3632,5559
4148,6643
6565,8576
2547,6120
5911,7459
6097,7681
4781,6487
3340,4102
5692,6494
4315,6192
2887,4940
3507,5401
4895,4924
7673,8191
4870,6876
3660,3708
5251,5401
2189,7823
6499,6605
3222,3367
3958,4841
2634,4918
1708,5801
3495,7479
5215,7067
4026,6712
5166,5982
7140,7210
6736,7553
3965,4790
3901,5313
5663,7471
2715,3043
2641,3860
4751,7578
3547,5517
844,1757
4066,4339
3499,5214
2744,6645
4304,5079
4569,7026
5873,6554
2378,2419
5861,7637
1589,3515
4339,4706
4973,6214
494,1134
2258,4413
3627,5582
2852,3086
3690,5161
5271,5802
6585,7766
5779,8226
2435,3254
2487,6244
2560,4746
3920,6245
4555,5408
4061,4235
3210,4666
4363,5946
4108,5232
5665,6728
2102,7324
2584,3576
3362,4267
4124,6876
5710,8876
5280,8030
288,3864
3815,4155
6747,8346
2918,3915
2492,2956
4871,5072
5980,6417
3833,4416
5409,9154
1576,5870
6859,7604
3200,5339
5490,5567
6077,6313
4609,5743
3430,7226
3912,8001
8667,9104
4740,6490
5387,5895
30,1321
2397,6788
7605,9178
2010,3328
1869,6753
2827,4332
1698,6030
1235,8096
2430,4072
5280,5895
590,5349
5408,5926
4237,4292
4065,8534
3759,4431
4855,5384
5554,8340
5753,7601
4657,8829
5174,7156
5113,6165
4725,4991
3883,6791
2802,4532
2412,2595
2964,3349
4504,5915
1468,4128
6542,8458
1407,1748
1463,3823
6035,6125
3132,5720
668,2369
8231,9459
4375,4555
5508,8348
6229,6930
6310,7907
8248,8726
3884,4605
5834,6039
5036,6173
5766,7346
5006,6801
4874,5643
4944,5088
1210,5431
5179,7874
4414,5436
4116,4316
6223,7651
1680,3577
6262,6599
2097,2905
4304,4336
1865,5413
2313,7016
3289,4731
6819,7196
6908,7515
4485,7075
3299,5345
2370,9328
1984,4365
2408,3047
3248,7594
5835,6992
5420,6239
4306,5138
8050,8187
4288,6442
4909,5260
4376,7327
2015,8450
5163,6918
3968,4451
2574,4702
6521,8153
3279,3796
938,7558
4694,4896
4693,9480
4775,5329
5467,6352
1775,3360
6315,6720
5736,6774
5035,6150
4970,7401
5035,5191
6949,9308
2035,4411
3173,4720
2846,7224
697,5933
3223,4752
4104,6493
2882,3420
3202,6086
4288,5567
7456,7602
4400,6491
7420,8504
6480,8885
3644,4272
4556,6437
1528,4392
5199,7688
2883,6146
4381,7026
4306,5566
4258,4932
1397,2043
3243,4484
4445,5023
5742,9739
5980,6263
3820,5422
9007,9399
7135,8563
2721,7427
2567,3329
6778,8156
3987,5710
4667,5343
2702,3833
4242,7776
3265,3921
2870,3496
4372,5512
8856,9159
1781,8318
4445,4676
4069,5159
1521,5469
2130,7290
5134,8040
4881,5351
5415,6513
7538,8997
5675,6049
3699,4071
4455,5436
5564,5920
3596,6297
4754,5989
3933,4656
3422,5054
1699,3276
2191,6757
6509,7522
4168,4845
2375,7497
1125,2467
3249,3978
6385,6693
1877,6976
4677,8571
6699,7463
4829,9694
5341,6419
4943,6485
5418,5576
3745,6481
4871,5739
5392,6489
1907,5531
6107,6530
5087,5230
2509,5658
5604,6854
7383,8730
5445,5933
2714,4323
5200,6017
4313,5833
2665,7041
5772,6416
2407,4478
2263,8080
6951,7620
6334,7817
2347,3313
5095,9584
1325,2309
1735,3968
5524,7112
7025,7329
3774,5163
2144,8342
3852,4489
2270,5897
3179,5168
5136,6169
3293,4832
3202,3311
5937,6760
3932,5582
6763,7080
2026,3640
3084,6086
3773,6560
460,2689
6132,6677
7774,8083
3481,5859
4618,5828
5850,7313
5008,5028
3004,4856
1616,3469
5364,5776
4070,4691
4634,4949
5042,5910
3620,4645
7318,7531
3335,6150
5181,5765
5842,6990
2613,4974
5610,6845
2463,4016
4250,4900
5232,6188
445,3847
3680,6441
4013,7543
3333,4404
5294,5396
3029,6379
2198,4828
377,4175
2267,5140
1732,4145
4574,4743
4357,5491
4472,5456
4225,5493
4867,7682
5200,6959
3528,4629
4907,5222
5835,6016
4762,5151
933,4514
4549,4561
4982,5061
2262,3529
5423,7584
3809,9008
3324,8654
4984,6345
2978,3354
3907,4133
6580,7374
5918,6692
3064,4334
3819,5585
5816,6424
5349,5428
4766,5338
3904,4583
4991,5052
2645,4434
5485,7300
3167,6663
2203,5925
3562,5852
1081,3478
4555,4966
5793,6127
3263,6193
5273,6377
7470,8122
3579,6084
5168,6610
2317,5771
4290,4499
5087,7784
5471,7331
3747,7570
6576,7610
4320,5540
4349,5483
4746,6292
1764,2022
3320,3813
912,1671
2472,3343
7428,7581
3418,6397
5709,6127
5424,5439
3219,4301
5724,6397
4830,5425
3967,5275
7986,8469
826,7115
2594,3791
5804,7607
5121,6621
7304,9693
2100,4529
2498,5759
3182,3760
2803,6826
3322,3853
2507,2533
3793,6571
3091,3940
2982,7247
545,5943
6557,6907
5612,6395
5852,6444
3109,4418
3919,4255
1788,2338
7534,8063
4734,6881
4433,5246
3538,5389
1468,4747
4633,4801
1983,2006
2338,3535
4764,7256
3829,6999
4568,4986
4818,8744
4177,4780
4656,7834
3760,4210
3558,8020
2697,3359
2450,2458
3450,4866
3719,3882
4809,4913
2658,5845
3332,3932
1514,3149
3149,3901
4723,7271
1938,3326
4212,4708
3316,7580
3067,8331
3182,5611
3747,4863
4883,5217
2519,2896
3324,4033
1516,5861
7589,8270
3238,6393
3750,4862
2207,4033
3898,3909
4323,4930
2223,4290
2305,4001
5701,6429
1222,2020
1419,3667
3327,4862
4026,4267
832,3994
6294,8430
6573,8883
4892,5051
5953,9058
722,5961
2260,5873
2580,2681
5778,6483
4557,5106
3507,6659
3003,5552
7970,8249
3437,4059
7137,7196
1325,4589
2440,6249
4709,5781
5069,5299
5533,6100
1878,9484
1670,4305
1966,4757
4422,4669
4520,4716
4102,5166
5024,5105
4727,4939
2709,3674
4645,5184
1375,3618
4452,6430
4137,5017
4278,7682
4701,4839
3310,5991
4736,6142
